Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Critical,Disease
Painful Urination,Hunger,Muscle Aches,Rose spots,NIL,Critical,cancer
Painful Urination,Hunger,Abdominal Pain,NIL,Disorientation,Critical,cancer
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Rashes,NIL,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Headache,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Hunger,Abdominal Pain,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Tired,Blurred Vision,NIL,NIL,Not Critical,cancer
Painful Urination,Tired,Headache,NIL,NIL,Not Critical,cancer
Difficulties in stooling,Hunger,Anal Itching and Pain,NIL,NIL,Not Critical,Diabetes
Frequent Urination,Hunger,Swollen genitals,Bloody diarrhea,NIL,Critical,Diabetes
Frequent Urination,Hunger,Abdominal Pain,Swollen testicles,Disorientation,Critical,Diabetes
Frequent Urination,Urge to urinate,Headache,NIL,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Tired,Headache,Bloody diarrhea,NIL,Critical,cancer
Frequent Urination,Hunger,Anal Itching and Pain,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Fever,Headache,NIL,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Tired,Muscle Aches,Rose spots,Confusion,Critical,cancer
Difficulties in stooling,Urge to urinate,Swollen genitals,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Frequent Infection,NIL,Confusion,Critical,cancer
Painful Urination,Urge to urinate,Swollen genitals,Bloody diarrhea,NIL,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Blurred Vision,NIL,Seizures,Critical,cancer
Painful Urination,Urge to urinate,Blurred Vision,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Hunger,Swollen genitals,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Difficulties in stooling,Fever,Headache,NIL,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Hunger,Headache,NIL,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Fever,Headache,NIL,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Frequent Infection,Swollen testicles,Slow heart rate and pulse,Critical,cardiovascular_disease
Painful Urination,Fever,Abdominal Pain,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Hunger,Frequent Infection,Bloody diarrhea,NIL,Critical,cancer
Painful Urination,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,NIL,Critical,Diabetes
"Yellow,green discharge",Hunger,Frequent Infection,Bloody diarrhea,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Hunger,Swollen genitals,NIL,NIL,Not Critical,cancer
Frequent Urination,Tired,Anal Itching and Pain,Rashes,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Hunger,Swollen genitals,NIL,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Urge to urinate,Headache,NIL,Confusion,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Headache,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Tired,Frequent Infection,Rose spots,NIL,Critical,cancer
Difficulties in stooling,Fever,Blurred Vision,NIL,Cough and breathing difficulties,Critical,cancer
Painful Urination,Tired,Blurred Vision,Rashes,NIL,Critical,cancer
Frequent Urination,Tired,Muscle Aches,Swollen testicles,NIL,Critical,Diabetes
Painful Urination,Urge to urinate,Abdominal Pain,NIL,Confusion,Critical,cardiovascular_disease
Frequent Urination,Tired,Frequent Infection,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Difficulties in stooling,Hunger,Muscle Aches,NIL,Seizures,Critical,cancer
Painful Urination,Urge to urinate,Abdominal Pain,Rose spots,Cough and breathing difficulties,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Critical,Diabetes
Difficulties in stooling,Hunger,Anal Itching and Pain,NIL,NIL,Not Critical,cancer
Frequent Urination,Tired,Frequent Infection,NIL,NIL,Not Critical,Diabetes
Frequent Urination,Hunger,Swollen genitals,Swollen testicles,NIL,Critical,Diabetes
Painful Urination,Urge to urinate,Abdominal Pain,NIL,NIL,Not Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Blurred Vision,NIL,Disorientation,Critical,cancer
Difficulties in stooling,Urge to urinate,Blurred Vision,NIL,Slow heart rate and pulse,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Headache,NIL,Disorientation,Critical,cancer
Frequent Urination,Fever,Frequent Infection,NIL,Disorientation,Critical,Diabetes
Difficulties in stooling,Hunger,Abdominal Pain,Swollen testicles,NIL,Critical,cancer
Painful Urination,Tired,Headache,NIL,NIL,Not Critical,cardiovascular_disease
Painful Urination,Hunger,Anal Itching and Pain,NIL,Disorientation,Critical,cancer
Frequent Urination,Fever,Muscle Aches,Bloody diarrhea,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Tired,Anal Itching and Pain,NIL,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Hunger,Anal Itching and Pain,NIL,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Urge to urinate,Muscle Aches,NIL,Disorientation,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Blurred Vision,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Tired,Muscle Aches,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Abdominal Pain,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Tired,Muscle Aches,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Headache,Rashes,NIL,Critical,cardiovascular_disease
Frequent Urination,Tired,Abdominal Pain,NIL,Confusion,Critical,Diabetes
Difficulties in stooling,Fever,Blurred Vision,Rose spots,Confusion,Critical,cancer
Difficulties in stooling,Hunger,Muscle Aches,NIL,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Hunger,Anal Itching and Pain,Swollen testicles,NIL,Critical,cancer
Difficulties in stooling,Hunger,Abdominal Pain,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Fever,Muscle Aches,Rose spots,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Tired,Anal Itching and Pain,NIL,NIL,Not Critical,cancer
Painful Urination,Tired,Swollen genitals,NIL,Seizures,Critical,cancer
Difficulties in stooling,Tired,Anal Itching and Pain,Bloody diarrhea,Confusion,Critical,cancer
Frequent Urination,Tired,Abdominal Pain,Swollen testicles,Confusion,Critical,Diabetes
"Yellow,green discharge",Fever,Blurred Vision,Bloody diarrhea,NIL,Critical,cancer
Frequent Urination,Hunger,Anal Itching and Pain,NIL,Confusion,Critical,Diabetes
Painful Urination,Urge to urinate,Abdominal Pain,Rose spots,NIL,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Frequent Infection,Rashes,Confusion,Critical,cancer
Frequent Urination,Hunger,Swollen genitals,NIL,Disorientation,Critical,Diabetes
Painful Urination,Hunger,Headache,NIL,Confusion,Critical,cancer
"Yellow,green discharge",Tired,Swollen genitals,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Painful Urination,Fever,Muscle Aches,NIL,Seizures,Critical,cancer
Difficulties in stooling,Fever,Anal Itching and Pain,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Hunger,Anal Itching and Pain,NIL,Confusion,Critical,cancer
Painful Urination,Hunger,Headache,NIL,NIL,Not Critical,Diabetes
Painful Urination,Urge to urinate,Blurred Vision,Rashes,Disorientation,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Anal Itching and Pain,Bloody diarrhea,NIL,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Headache,Bloody diarrhea,NIL,Critical,Diabetes
Painful Urination,Urge to urinate,Anal Itching and Pain,Rashes,NIL,Critical,cardiovascular_disease
Painful Urination,Fever,Abdominal Pain,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Blurred Vision,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Tired,Anal Itching and Pain,Rashes,NIL,Critical,Diabetes
Frequent Urination,Fever,Muscle Aches,NIL,NIL,Not Critical,cancer
Frequent Urination,Fever,Abdominal Pain,Bloody diarrhea,Seizures,Critical,Diabetes
Difficulties in stooling,Fever,Headache,NIL,Confusion,Critical,cancer
Frequent Urination,Fever,Abdominal Pain,NIL,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Fever,Headache,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Painful Urination,Tired,Swollen genitals,NIL,NIL,Not Critical,cancer
"Yellow,green discharge",Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Painful Urination,Fever,Swollen genitals,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Fever,Frequent Infection,NIL,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Tired,Anal Itching and Pain,Rose spots,Disorientation,Critical,cancer
"Yellow,green discharge",Tired,Frequent Infection,NIL,NIL,Not Critical,cancer
Frequent Urination,Tired,Swollen genitals,Excessive Urination and Thirst,NIL,Critical,Diabetes
Painful Urination,Hunger,Anal Itching and Pain,NIL,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Rose spots,Confusion,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Headache,Bloody diarrhea,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Fever,Anal Itching and Pain,Bloody diarrhea,NIL,Critical,Diabetes
"Yellow,green discharge",Fever,Anal Itching and Pain,NIL,Confusion,Critical,cancer
Difficulties in stooling,Urge to urinate,Abdominal Pain,Rose spots,NIL,Critical,cardiovascular_disease
Painful Urination,Tired,Abdominal Pain,Rashes,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Urge to urinate,Blurred Vision,NIL,Seizures,Critical,Diabetes
Difficulties in stooling,Hunger,Swollen genitals,Rashes,NIL,Critical,cancer
Painful Urination,Fever,Headache,Bloody diarrhea,NIL,Critical,cancer
Difficulties in stooling,Urge to urinate,Headache,NIL,NIL,Not Critical,cancer
Frequent Urination,Urge to urinate,Frequent Infection,NIL,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Hunger,Blurred Vision,Bloody diarrhea,Seizures,Critical,cancer
Frequent Urination,Fever,Frequent Infection,NIL,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Fever,Abdominal Pain,NIL,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Fever,Frequent Infection,Bloody diarrhea,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Urge to urinate,Muscle Aches,Bloody diarrhea,Confusion,Critical,Diabetes
"Yellow,green discharge",Hunger,Blurred Vision,Excessive Urination and Thirst,NIL,Critical,Diabetes
Painful Urination,Urge to urinate,Blurred Vision,NIL,NIL,Not Critical,cancer
"Yellow,green discharge",Hunger,Blurred Vision,NIL,NIL,Not Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Anal Itching and Pain,Rose spots,Disorientation,Critical,cancer
Frequent Urination,Tired,Abdominal Pain,Excessive Urination and Thirst,NIL,Critical,Diabetes
Painful Urination,Tired,Headache,NIL,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Muscle Aches,NIL,Cough and breathing difficulties,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Anal Itching and Pain,Swollen testicles,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Tired,Headache,Swollen testicles,Confusion,Critical,cancer
"Yellow,green discharge",Fever,Abdominal Pain,NIL,NIL,Not Critical,cancer
Frequent Urination,Fever,Blurred Vision,Swollen testicles,NIL,Critical,Diabetes
Difficulties in stooling,Hunger,Anal Itching and Pain,Bloody diarrhea,NIL,Critical,cancer
Painful Urination,Fever,Blurred Vision,NIL,NIL,Not Critical,cancer
Frequent Urination,Fever,Blurred Vision,NIL,Disorientation,Critical,Diabetes
Difficulties in stooling,Tired,Headache,Rose spots,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Hunger,Frequent Infection,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Frequent Urination,Tired,Anal Itching and Pain,Rose spots,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Hunger,Frequent Infection,Bloody diarrhea,NIL,Critical,Diabetes
Painful Urination,Hunger,Blurred Vision,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Headache,Swollen testicles,Disorientation,Critical,cancer
Frequent Urination,Fever,Frequent Infection,Rose spots,NIL,Critical,Diabetes
"Yellow,green discharge",Fever,Headache,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Blurred Vision,NIL,Cough and breathing difficulties,Critical,cardiovascular_disease
Frequent Urination,Fever,Abdominal Pain,Rose spots,Severe pelvic pain,Critical,Diabetes
Painful Urination,Hunger,Headache,NIL,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Fever,Headache,Swollen testicles,Seizures,Critical,cancer
Difficulties in stooling,Fever,Abdominal Pain,Rashes,NIL,Critical,cancer
Frequent Urination,Hunger,Frequent Infection,Rose spots,NIL,Critical,Diabetes
Painful Urination,Hunger,Abdominal Pain,Swollen testicles,NIL,Critical,cancer
Difficulties in stooling,Tired,Abdominal Pain,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Tired,Swollen genitals,NIL,Disorientation,Critical,Diabetes
Painful Urination,Fever,Headache,NIL,Cough and breathing difficulties,Critical,cancer
Painful Urination,Tired,Headache,NIL,Confusion,Critical,cancer
Frequent Urination,Fever,Muscle Aches,NIL,NIL,Not Critical,cardiovascular_disease
Painful Urination,Tired,Blurred Vision,NIL,NIL,Not Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Frequent Infection,Swollen testicles,NIL,Critical,cancer
"Yellow,green discharge",Fever,Swollen genitals,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Tired,Blurred Vision,NIL,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Urge to urinate,Frequent Infection,Bloody diarrhea,Cough and breathing difficulties,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Abdominal Pain,NIL,Confusion,Critical,cancer
"Yellow,green discharge",Hunger,Blurred Vision,NIL,NIL,Not Critical,Diabetes
Painful Urination,Urge to urinate,Muscle Aches,Rashes,Slow heart rate and pulse,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Frequent Infection,NIL,Slow heart rate and pulse,Critical,cancer
Painful Urination,Urge to urinate,Frequent Infection,NIL,Disorientation,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Anal Itching and Pain,Bloody diarrhea,NIL,Critical,cancer
Difficulties in stooling,Fever,Muscle Aches,Rashes,Disorientation,Critical,cancer
Frequent Urination,Hunger,Anal Itching and Pain,Rashes,NIL,Critical,Diabetes
"Yellow,green discharge",Tired,Swollen genitals,NIL,Seizures,Critical,cancer
Painful Urination,Hunger,Anal Itching and Pain,NIL,NIL,Not Critical,cancer
Frequent Urination,Urge to urinate,Headache,NIL,NIL,Not Critical,cancer
Difficulties in stooling,Tired,Muscle Aches,NIL,Confusion,Critical,cancer
Difficulties in stooling,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Blurred Vision,Bloody diarrhea,Disorientation,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Swollen genitals,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Anal Itching and Pain,Rose spots,NIL,Critical,cancer
"Yellow,green discharge",Tired,Abdominal Pain,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Painful Urination,Urge to urinate,Blurred Vision,Rashes,Confusion,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Frequent Infection,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Fever,Frequent Infection,Bloody diarrhea,Disorientation,Critical,cancer
Frequent Urination,Hunger,Blurred Vision,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Frequent Infection,NIL,NIL,Not Critical,cancer
Painful Urination,Urge to urinate,Muscle Aches,NIL,Slow heart rate and pulse,Critical,cardiovascular_disease
Painful Urination,Tired,Blurred Vision,Rose spots,Seizures,Critical,cancer
Difficulties in stooling,Fever,Anal Itching and Pain,Rose spots,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Urge to urinate,Muscle Aches,NIL,NIL,Not Critical,cancer
Difficulties in stooling,Tired,Swollen genitals,Rose spots,NIL,Critical,cancer
Painful Urination,Tired,Abdominal Pain,Rose spots,Seizures,Critical,cancer
Painful Urination,Hunger,Anal Itching and Pain,Bloody diarrhea,NIL,Critical,cancer
"Yellow,green discharge",Urge to urinate,Swollen genitals,Rose spots,NIL,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Muscle Aches,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Hunger,Abdominal Pain,Swollen testicles,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Urge to urinate,Anal Itching and Pain,NIL,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Frequent Infection,NIL,Slow heart rate and pulse,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Headache,NIL,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Fever,Swollen genitals,Rose spots,Disorientation,Critical,cancer
"Yellow,green discharge",Tired,Blurred Vision,Rashes,Confusion,Critical,cancer
Painful Urination,Urge to urinate,Muscle Aches,Rashes,NIL,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Frequent Infection,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
